ASIN,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸(长×宽×高cm),包装类型,单品重量(g),产品图片,销售数据截止,库存数据截止
B0CYCGY6NM,战术笔记本A5,35,679.66,29,1.17,0,36,20,0,10,66,30×25×1,,600,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2025-11-22/bc0fc64e-0cbe-4b84-9aff-a6bbf2baa7ce.jpg,2026-08-05,2026-08-06T06:00:06.596Z
B0CYCH1Y2T,战术笔记本A6,7,125.93,7,0.23,0,67,20,0,7,94,25×20×1,,400,,2026-08-05,2026-08-06T06:00:06.596Z
B0D3HJPD2P,梅森罐盖无日期24Wide+24Regular,1612,10574.74,1486,53.73,0,4362,3,0,166,4531,31.5×16×1.65,,430,,2026-08-05,2026-08-06T06:00:06.596Z
B0DP4868XV,梅森罐盖无日期60Regular,180,1171.21,172,6.00,0,167,0,0,25,192,37×15×16.5,,430,,2026-08-05,2026-08-06T06:00:06.596Z
B0FMY8F3ST,蓝色鲨鱼吸管装饰,1296,25447.27,834,43.20,0,0,504,0,15,519,29×15×10,飞机盒,100,,2026-08-05,2026-08-06T06:00:06.596Z
